COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
565,127,2671,10-18,24
565,127,2671,18-00,15
565,127,2673,10-18,2
565,127,2675,10-18,41
565,127,3191,10-18,77
565,133,2984,00-10,39
565,133,2984,18-00,2
565,133,2986,00-10,5
565,133,2986,18-00,6
565,191,1402,00-10,21
565,191,1402,10-18,63
565,191,1402,18-00,29
565,404,2822,10-18,24
565,404,2822,18-00,52
565,427,86,00-10,120
565,427,86,10-18,530
565,427,86,18-00,192
565,427,87,00-10,2
565,427,88,00-10,1
565,427,88,18-00,1
565,427,2126,10-18,140
565,427,2126,18-00,9
565,427,2127,10-18,19
565,427,2127,18-00,14
565,427,2359,00-10,43
565,427,2359,10-18,73
565,427,2359,18-00,40
565,427,2362,00-10,1
565,427,2362,10-18,142
565,427,2362,18-00,14
565,427,2634,10-18,12
565,427,2634,18-00,7
565,456,2089,00-10,31
565,456,2089,10-18,115
565,456,2089,18-00,24
565,456,2997,00-10,15
565,456,2997,10-18,2
565,456,2997,18-00,19
565,494,129,00-10,44
565,494,129,10-18,237
565,494,129,18-00,108
565,494,2628,00-10,4
565,494,2628,10-18,176
565,494,2628,18-00,12
565,494,2653,00-10,46
565,494,2653,10-18,163
565,494,2653,18-00,58
565,494,2733,00-10,1
565,494,2902,00-10,12
565,494,2902,10-18,202
565,494,2902,18-00,50
565,494,3303,10-18,44
565,494,3305,10-18,40
565,494,3307,10-18,41
565,495,141,00-10,60
565,524,186,00-10,70
565,524,186,10-18,201
565,524,186,18-00,60
565,524,2102,00-10,2
565,524,2102,10-18,1
565,524,2102,18-00,2
565,538,205,00-10,8
565,538,205,10-18,2
565,538,205,18-00,20
565,538,207,00-10,6
565,538,2091,00-10,46
565,538,2091,10-18,111
565,538,2091,18-00,17
565,538,2103,00-10,3
565,538,2605,10-18,7
565,538,8199,00-10,2
565,538,8199,10-18,20
565,538,8199,18-00,2
565,538,8215,00-10,3
565,538,8215,10-18,3
565,538,8216,00-10,1
565,582,220,00-10,239
565,582,220,10-18,1151
565,582,220,18-00,321
565,582,222,00-10,1
565,G,3338,00-10,112
565,G,3338,10-18,330
565,G,3338,18-00,119
565,G,3382,00-10,7
